won,round,one-team,two-team,seed,oneTotalTowersBuild,oneTotalProjectiles,oneTotalTowerUpgrades,oneTotalCreepDamage,oneTotalTowerDamage,oneTotalDamageFromCreeps,twoTotalTowersBuild,twoTotalProjectiles,twoTotalTowerUpgrades,twoTotalCreepDamage,twoTotalTowerDamage,twoTotalDamageFromCreeps,oneGuesses,twoGuesses
50,36,anthropic,openai,1,50,4799,119,21216,1721,2560,25,4950,164,22472,509,266
49,29,anthropic,openai,2,33,4067,84,21452,1954,7,11,2961,115,13128,337,1603
50,41,anthropic,openai,3,67,8476,156,36806,2747,2293,36,6067,172,24858,2996,24
50,18,anthropic,openai,4,19,806,35,3343,49,2317,3,859,51,4246,7,20
50,37,anthropic,openai,5,34,6484,162,29408,936,3868,13,4645,169,25433,2080,72
49,43,anthropic,openai,6,42,10986,215,50363,1433,1,33,8600,181,44903,3483,577
49,41,anthropic,openai,7,56,7516,182,34332,2460,0,39,5867,199,26408,2103,841
49,38,anthropic,openai,8,36,8201,164,42932,1669,0,28,5369,167,25945,2008,517
49,31,anthropic,openai,9,31,3385,96,16219,2326,1,7,2481,119,12518,1170,395
50,27,anthropic,openai,10,27,3900,81,17654,1009,1990,10,1933,97,9560,903,918
49,33,anthropic,openai,11,47,7079,99,36689,2872,0,16,3247,144,15271,1145,2316,0,0
49,42,anthropic,openai,12,49,9949,182,54151,3053,11,41,8240,205,40662,1583,2266,0,0
49,37,anthropic,openai,13,59,5837,132,27456,1837,1,36,4727,157,16924,1566,902,0,0
49,37,anthropic,openai,14,60,6770,125,32373,3270,0,22,5299,161,25290,1845,1018,18,0
49,45,anthropic,openai,15,54,10729,227,57755,1794,3,37,8616,222,40920,3173,1589,0,0
49,21,anthropic,openai,16,17,1872,54,8619,591,1,7,1481,64,7057,253,613,4,0
49,38,anthropic,openai,17,56,6591,132,24982,2528,1,32,5552,159,25562,2964,1462,18,0
49,50,anthropic,openai,18,115,11924,215,47937,4267,99,44,10642,291,53939,4095,1813,16,0
49,36,anthropic,openai,19,64,4887,112,22185,2184,532,21,4753,151,22155,1238,1738,16,0
49,32,anthropic,openai,20,42,6287,101,31564,1398,18,17,2741,124,13917,1181,2545,0,0
49,34,anthropic,openai,21,23,6287,145,34444,1105,0,20,3519,150,16695,900,3922,14,0
49,33,anthropic,openai,22,31,4561,130,24772,286,2437,17,3451,144,17741,430,2722,0,0
49,30,anthropic,openai,23,50,4651,82,21551,1191,1,14,2504,110,11623,1949,1384,0,0
49,41,anthropic,openai,24,65,7082,161,27903,3932,3,49,6981,174,30470,4986,370,8,0
49,49,anthropic,openai,25,79,12014,225,53152,4050,1256,32,12324,281,58778,2498,1500,0,0
49,44,anthropic,openai,26,58,11260,201,55776,2874,1,46,8730,205,36447,2897,3366,0,0
49,53,anthropic,openai,27,75,14864,312,74514,1885,19,33,12356,339,60631,1713,1484,8,0
49,34,anthropic,openai,28,38,4385,130,21636,1063,1,9,5345,116,29686,2336,53,0,0
49,36,anthropic,openai,29,34,5749,151,25115,2218,2279,46,6180,131,27973,2937,244,30,0
49,43,anthropic,openai,30,65,8613,191,44296,2837,40,38,8849,193,40391,3313,2365,0,0
49,27,anthropic,openai,31,23,4491,88,21039,436,1,13,1706,95,9185,1282,1945,4,0
49,50,anthropic,openai,32,72,10907,264,49386,3584,486,48,11825,295,61964,3928,860,0,0
49,33,anthropic,openai,33,32,4954,124,24329,1027,118,19,3210,131,15567,1340,1752,0,0
50,48,anthropic,openai,34,114,11481,174,46017,6112,1846,17,11068,282,55732,2395,864,0,0
49,37,anthropic,openai,35,33,5230,165,22284,762,101,34,4561,158,24059,2670,585,8,0
50,58,openai,anthropic,21,153,19068,279,81611,10204,894,72,16344,392,77561,3156,217
50,49,openai,anthropic,22,103,11909,227,53545,4475,4129,48,9728,287,47963,3190,30
50,39,openai,anthropic,23,52,6460,166,24611,1058,2877,40,5190,167,27238,4329,483
50,30,openai,anthropic,24,44,3812,86,15843,1979,1354,10,3404,120,16958,557,0
50,45,openai,anthropic,25,96,9676,161,39875,6198,1167,45,10936,242,54292,1841,0
50,27,openai,anthropic,26,30,2809,55,10651,2620,669,26,2413,85,9760,1685,3
49,26,openai,anthropic,27,21,3022,83,13065,538,0,18,1654,71,7772,1715,1525
50,44,openai,anthropic,28,76,9402,179,41894,3738,261,72,7682,197,33228,2904,1535
50,57,openai,anthropic,28,135,15418,295,63463,9378,2079,58,16604,391,77897,3616,64
50,45,openai,anthropic,29,60,10259,185,48056,6230,1223,40,9467,244,45853,3350,0
50,32,openai,anthropic,30,29,3977,116,17628,1549,2839,26,2990,114,15292,1561,955
50,38,openai,anthropic,31,52,5670,128,28296,5751,467,37,5385,171,25690,1183,63
49,45,openai,anthropic,32,64,8781,210,43700,2955,0,53,7730,234,36641,1995,3603
49,58,openai,anthropic,33,98,16431,344,78118,7436,0,33,16523,424,86853,3666,926
50,52,openai,anthropic,34,49,11360,278,60485,5090,888,65,12975,300,64812,2171,851
50,45,openai,anthropic,35,57,8644,225,43932,2243,3381,50,10086,233,50494,1780,465,0,24
50,14,openai,anthropic,36,15,582,13,1842,798,176,6,598,29,2224,414,6,0,0
50,32,openai,anthropic,37,27,4608,123,23406,686,2170,21,3722,124,18976,1074,0,0,0
50,37,openai,anthropic,38,36,6867,118,32271,3619,1371,41,4778,158,23340,2140,942,0,36
50,32,openai,anthropic,39,24,4391,115,20939,1184,642,24,3033,127,14917,886,218,0,26
50,40,openai,anthropic,40,40,6481,131,31920,4774,400,23,5459,192,24898,2164,2,0,6
50,50,openai,anthropic,41,55,11574,270,53766,3620,1466,46,9293,289,48814,3740,392,0,0
50,21,openai,anthropic,42,11,1711,51,7707,601,375,21,1279,45,5490,995,78,0,20
50,31,openai,anthropic,43,21,4653,114,24937,1261,1738,12,3448,128,16752,320,608,0,12
49,41,openai,anthropic,44,64,7599,163,37747,3709,21,53,8811,188,36478,1948,5579,0,18
50,19,openai,anthropic,45,15,1059,24,3708,1475,208,6,1421,53,6214,333,0,0,0
50,40,openai,anthropic,46,72,9127,143,46218,4386,1556,41,6092,189,28506,1801,1,0,26
50,56,openai,anthropic,47,52,12407,357,65362,4347,2709,66,15492,354,75430,2859,2259,0,16
50,26,openai,anthropic,48,24,3051,50,14599,1929,112,12,1911,92,8828,674,0,0,16
50,55,openai,anthropic,49,95,14517,285,73652,8769,2218,53,14858,364,73318,2283,918,0,0
49,45,openai,anthropic,50,47,9002,228,45598,3375,0,43,9628,239,45608,2557,1264,0,12
50,39,openai,anthropic,51,49,6099,148,26694,3296,850,25,5367,191,26839,2581,1,0,0
50,40,openai,anthropic,52,50,6692,138,32116,5488,540,35,6298,195,31546,970,42,0,24
50,52,openai,anthropic,53,82,11477,268,54535,9283,919,42,15003,335,76976,1735,0,0,12
50,48,openai,anthropic,54,61,9753,233,44834,5472,3216,51,9794,266,49783,1833,3,0,22
50,22,openai,anthropic,55,5,1533,72,8930,0,2715,6,1590,70,8647,40,6,0,0
50,29,openai,anthropic,56,28,3099,93,16992,2222,3766,19,4830,105,25369,325,2,0,18
49,41,openai,anthropic,57,43,7294,163,36329,3616,21,57,6497,173,32684,2234,3755,0,40
50,33,openai,anthropic,58,41,3796,88,15529,3799,590,38,3522,118,16625,1783,0,0,18
50,50,openai,anthropic,59,68,12469,265,64260,5670,1357,39,11255,302,55059,2485,0,0,8
49,23,openai,anthropic,60,6,2228,77,10403,265,0,19,1250,62,5972,1354,1655,0,0
49,43,anthropic,openai,36,60,12622,186,65379,3467,47,40,8699,211,39417,2605,1406,0,0
50,41,openai,anthropic,61,43,7535,192,37371,2195,1943,46,7374,195,33761,1637,197,0,44
50,41,anthropic,openai,37,76,7830,158,37708,1859,4327,40,6766,199,31260,1378,1136,0,0
49,36,openai,anthropic,62,31,4775,128,22204,2781,75,31,4286,153,20530,2246,1826,0,0
49,26,anthropic,openai,38,19,4019,81,19383,459,0,10,1374,84,7306,1442,1477,4,0
50,36,openai,anthropic,63,46,4556,91,20210,4192,1674,53,4661,136,23786,1591,0,0,26
